Target,Thrust Speed Average,Total thrust force,Screw revolution,Cutter Torque,Screw Torque,Soil Pressure
1,51,23.188,8.5,4.95,0.599,143
1,51,23.223,9.3,4.98,0.636,143
1,39,21.152,9.4,5.101,0.6,143
1,54,21.222,11,5.137,0.482,141
1,52,20.655,10.9,5.116,0.469,141
1,51,20.488,10.4,5.113,0.499,141
1,53,20.278,10.5,5.12,0.494,140
1,50,20.393,8.8,5.141,0.546,140
1,51,20.913,9.8,5.176,0.507,140
1,52,20.692,9.8,5.181,0.483,140
1,51,20.612,9.5,5.156,0.491,139
1,51,20.533,11.1,5.187,0.533,139
1,38,20.329,7.4,5.025,0.605,139
1,52,21.088,9.7,5.027,0.505,138
1,50,21.044,9.6,5.049,0.494,138
1,51,21.101,10.1,5.046,0.559,138
1,51,21.166,9.8,5.042,0.608,138
1,50,21.279,8.8,5.044,0.617,139
1,50,21.629,9.2,5.046,0.595,139
1,49,22.196,8.3,5.046,0.605,139
1,49,22.849,9.4,5.043,0.606,139
1,35,15.074,10.4,5.027,0.575,138
1,0,0.065,0,5.134,1.053,236
1,37,18.775,5.7,5.103,0.969,237
1,51,21.495,7.9,5.133,0.903,235
1,53,22.84,8.4,5.116,0.987,234
1,52,22.367,9.2,5.101,0.921,233
1,52,21.995,9.5,5.11,0.932,232
1,53,21.574,9.3,5.121,0.941,231
1,52,21.541,8.4,5.138,0.943,230
1,52,21.6,8.4,5.136,0.927,231
1,51,21.668,8.5,5.107,0.897,230
1,52,21.575,8.7,5.091,0.839,229
1,39,20.191,6.8,5.077,0.918,228
1,52,21.759,8.7,5.068,0.89,228
1,53,21.874,8.7,5.1,0.874,228
1,53,21.688,9.5,5.112,0.861,227
1,52,21.444,9.1,5.116,0.903,226
1,53,21.399,8.8,5.117,0.909,225
1,52,21.443,8.5,5.123,0.917,225
1,52,21.827,8.2,5.122,0.95,226
1,54,21.723,8.6,5.126,0.923,226
1,53,21.391,8.8,5.132,0.885,226
1,40,20.431,6.8,5.139,0.962,225
1,54,21.334,9.2,5.166,0.92,226
1,54,20.901,9.2,5.2,0.876,225
1,52,20.806,8.8,5.224,0.878,223
1,51,21.29,7.2,5.19,0.954,223
1,54,21.443,8.6,5.191,0.96,223
1,52,21.395,8.1,5.171,0.939,223
1,52,21.586,8.7,5.18,0.942,224
1,53,21.153,9.2,5.165,0.882,224
1,51,20.672,8.4,5.149,0.891,223
1,39,20.241,6.4,5.137,0.958,224
1,55,21.742,8.9,5.133,0.929,224
1,54,21.174,9.6,5.148,0.891,224
1,53,20.624,8.9,5.167,0.926,223
1,53,21.385,7.9,5.146,0.971,223
1,53,20.905,8.4,5.135,0.903,223
1,51,21.115,8.3,5.107,0.913,224
1,53,21.009,8.5,5.12,0.885,224
1,52,20.628,8.6,5.12,0.866,224
1,48,21.03,7,5.122,0.934,224
1,42,20.019,8.4,5.101,0.939,224
1,52,20.793,8.2,5.096,0.915,225
1,53,21.168,8.7,5.136,0.956,225
1,54,20.97,9.1,5.158,0.946,225
1,53,20.882,8.6,5.153,0.913,225
1,52,20.783,8.9,5.141,0.918,224
1,53,20.612,9.5,5.15,0.894,225
1,52,20.351,9,5.145,0.892,223
1,51,20.721,8.1,5.141,0.954,223
1,50,21.092,8.1,5.135,0.967,223
1,38,19.904,7.9,5.121,0.965,224
1,52,20.893,8.8,5.182,0.952,224
1,52,20.985,9.1,5.217,0.949,224
1,52,20.97,8.8,5.245,0.953,224
1,53,21.01,9.2,5.234,0.949,224
1,53,20.559,9.5,5.239,0.908,224
1,54,20.462,9.4,5.227,0.903,223
1,53,20.152,9.2,5.222,0.931,222
1,49,20.9,7.7,5.221,0.983,223
1,52,20.953,9,5.214,0.942,222
1,39,20.14,6.9,5.199,0.969,223
1,54,21.122,10.3,5.189,0.956,224
1,53,20.687,8.7,5.22,0.942,224
1,53,20.879,8.9,5.196,0.941,223
1,54,20.916,9.3,5.205,0.923,223
1,55,20.281,10.6,5.195,0.884,222
1,51,19.979,8.3,5.186,0.934,221
1,53,20.597,9.7,5.157,0.938,221
1,51,21.062,8.4,5.17,0.964,222
1,53,20.608,9.6,5.178,0.911,221
1,39,19.987,8,5.161,0.948,222
1,52,21.034,8.6,5.129,0.936,222
1,56,20.885,9.5,5.145,0.929,222
1,54,20.545,9.8,5.174,0.889,221
1,54,20.053,9.9,5.189,0.856,220
1,53,20.225,9,5.181,0.899,218
1,51,20.663,8.3,5.166,0.93,218
1,52,21.068,8.4,5.163,0.963,218
1,53,20.942,9.7,5.158,0.919,218
1,45,19.303,8.5,5.18,0.893,218
1,0,0.801,0,5.166,1.044,237
1,37,18.987,5.3,5.151,0.973,238
1,53,21.269,8.8,5.173,0.887,237
1,52,21.476,8.3,5.181,0.909,235
1,53,21.592,8.4,5.225,0.932,235
1,53,21.707,8.7,5.216,0.915,235
1,51,21.264,8.8,5.205,0.935,234
1,54,21.135,8.9,5.199,0.936,234
1,52,20.905,8.9,5.192,0.916,233
1,52,20.616,8.8,5.165,0.922,232
1,52,20.29,8.9,5.168,0.896,232
1,40,20.274,6.4,5.107,0.961,232
1,53,20.924,9.3,5.11,0.904,232
1,53,20.485,9.3,5.166,0.874,231
1,54,20.272,9.3,5.151,0.824,228
1,52,19.996,8,5.162,0.849,226
1,52,20.575,8.9,5.165,0.861,225
1,52,20.686,7.7,5.163,0.886,224
1,54,21,8.3,5.167,0.902,224
1,52,20.981,8.2,5.221,0.88,225
1,54,21.074,8.3,5.229,0.896,225
1,40,20.754,6.3,5.129,0.981,228
1,51,21.793,8.2,5.166,0.915,228
1,54,21.388,8.8,5.182,0.96,227
1,53,20.547,9.2,5.192,0.919,227
1,52,20.141,9,5.201,0.896,226
1,53,20.1,8.8,5.19,0.883,226
1,52,20.129,8.7,5.194,0.876,225
1,52,19.795,8.8,5.211,0.85,224
1,52,19.501,8.7,5.201,0.86,223
1,52,20.574,7.2,5.198,0.914,223
1,40,19.925,6.9,5.161,0.95,224
1,53,21.146,8.5,5.21,0.949,224
1,53,21.134,8.5,5.191,0.922,224
1,52,20.94,8.5,5.202,0.917,224
1,52,20.8,8.5,5.195,0.929,224
1,53,20.7,8.5,5.185,0.908,224
1,52,20.674,8.5,5.194,0.901,224
1,51,20.435,8.5,5.182,0.957,224
